TP,slope,intersection,LR [%/V]
1,0.0588690250000002,0.502235753666666,10.2286526772255
2,0.129473275,0.446318900333334,21.2496687095993
3,0.169175345833333,0.40779194,27.1471603342582
4,0.0813180291666667,0.496760707666667,13.8501206314032
5,0.0470922249999994,0.506799260000001,8.32707667992914
6,0.113260341666666,0.459266031,18.8377453333733
7,0.0616149458333333,0.506800149333333,10.5494837248372
8,0.179346270833333,0.397301984333334,28.651648140785
9,0.175752108333333,0.400845188333333,28.1538446878963
10,0.0992499458333337,0.476949880666666,16.4805114256573
11,0.152647533333333,0.422799346333334,24.8063785904095
12,0.0836181500000001,0.488021024333333,14.0926238527068
13,0.083168866666667,0.489755151999999,13.9939341898938
14,0.0800150833333338,0.459971428999999,14.3474086121513
15,0.0721868999999997,0.482124701333334,12.640867540262
16,0.0900160166666667,0.462616814,15.7193081441362
