TP,slope (linfit),intersection,LR [%/V],Vout (1.08),Vout (1.2),Vout (1.32),slope,mean
1,0.340083658333333,0.188789763333334,54.8985702894557,0.544787017,0.619476348,0.626407095,7,10
2,0.307132179166667,0.222345515666666,50.2705186585975,0.544020913,0.610958843,0.617732636,8,8
3,0.118189641666667,0.419327370666666,20.7228631507566,0.542382395,0.570334518,0.570747909,9,5
4,0.392763695833334,0.133209438333333,62.0989630241664,0.543417026,0.632480281,0.637680313,7,9
5,0.0129261458333335,0.449390842333333,2.78013175454802,0.463328569,0.464947239,0.466430844,15,4
6,0.292190616666667,0.236282223666667,48.2542860494972,0.542542262,0.605522619,0.61266801,11,10
7,0.213881775,0.318049954,36.3309562086989,0.542044337,0.588703952,0.593375963,9,9
8,0.3821106375,0.143459114333333,60.7805853305192,0.542798447,0.628672191,0.634505,8,8
9,0.372923895833333,0.152784384666667,59.6055303088739,0.542862132,0.62565318,0.632363867,8,8
10,0.415755920833333,0.107398724666667,65.5912965946928,0.542638851,0.633858366,0.642420272,7,9
11,0.411768491666666,0.110653125333334,65.3709460139845,0.542803123,0.629895262,0.641627561,8,9
12,0.379437325,0.145053462333333,60.7543198344787,0.54276301,0.624543779,0.633827968,9,11
13,0.304001166666667,0.224263407666667,49.9380634320123,0.542738862,0.608756419,0.615699142,8,9
14,0.277606816666666,0.248690164000001,46.6347462578688,0.541775235,0.595278926,0.608400871,14,15
15,0.4056396625,0.116205946333334,64.8179496072237,0.542876661,0.625813783,0.64023018,8,12
16,0.0696283250000003,0.375778142,15.1285739839872,0.450520895,0.460243808,0.467231693,10,1
