TP,slope,intersection,LR [%/V],Vout (1.08),Vout (1.2),Vout (1.32)
1,0.158122245833333,0.378287376666667,27.3197332235417,0.543684436,0.578784004,0.581633775
2,0.2954058875,0.234713996333333,48.5297624842556,0.543997504,0.608710763,0.614894917
3,0.324244325,0.204923521666666,52.5314964559607,0.54349678,0.617237937,0.621315418
4,0.257313145833333,0.275602520666667,42.5451637050016,0.543289871,0.60479999,0.605045026
5,0.0893435666666672,0.442865225666666,16.1042252014114,0.537003335,0.554783391,0.558445791
6,0.2485760125,0.281431259333334,41.7905854962682,0.542347878,0.594813424,0.602006121
7,0.174329529166667,0.359236062,30.0522014279895,0.541683178,0.580089048,0.583522265
8,0.362118454166667,0.164739304,57.895096714061,0.542731238,0.625473442,0.629639667
9,0.353036916666666,0.173990291666667,56.721890514106,0.542887572,0.622399771,0.627616432
10,0.283173404166667,0.246887496666666,46.6421457088957,0.542502983,0.607119162,0.6104646
11,0.333511904166667,0.193395634333333,54.1931723499981,0.54268688,0.615413141,0.622729737
12,0.222514683333334,0.309560682333333,37.608122972207,0.542332417,0.591666549,0.595735941
13,0.226116416666667,0.305721275,38.1868753582416,0.542391875,0.592131235,0.596659815
14,0.128106629166667,0.388307519333333,23.5098992432298,0.525227889,0.544905054,0.55597348
15,0.154748129166666,0.377515945333334,27.1022117845055,0.540760922,0.570979706,0.577900473
16,0.154825266666667,0.376156207,27.2572272519943,0.540333025,0.568015467,0.577491089
